Pedestrian_Involved,Accident Severity,Time of Day,Day of Week,Weather Conditions,Lighting Conditions,Road Type,Road Condition,Traffic Control Presence,Speed Limit (km/h),Number of Vehicles Involved
0,Minor,10:10,Saturday,Stormy,Dark,State Highway,Icy,None,59,1
0,Minor,2:17,Sunday,Clear,Dark,National Highway,Under Construction,None,65,4
1,Minor,16:18,Thursday,Stormy,Dawn,Urban Road,Wet,Guard,70,5
0,Minor,13:40,Friday,Rainy,Dark,State Highway,Icy,Signals,30,4
0,Minor,5:43,Wednesday,Stormy,Daylight,Village Road,Icy,Signals,31,5
0,Minor,17:22,Saturday,Snowy,Daylight,Urban Road,Icy,Signals,32,5
1,Minor,19:47,Saturday,Foggy,Dusk,Urban Road,Icy,None,83,1
0,Minor,20:38,Sunday,Clear,Daylight,Village Road,Dry,Guard,27,1
1,Fatal,14:18,Saturday,Snowy,Dawn,Village Road,Wet,Signals,84,4
0,Minor,6:58,Tuesday,Snowy,Dawn,State Highway,Wet,Signs,28,1
0,Fatal,19:04,Monday,Rainy,Dark,State Highway,Under Construction,Signs,111,1
0,Minor,2:35,Thursday,Foggy,Dark,National Highway,Dry,Signs,21,3
0,Serious,21:08,Sunday,Foggy,Dark,National Highway,Under Construction,Unknown,97,4
1,Minor,8:30,Sunday,Hazy,Dawn,Urban Road,Icy,Guard,32,4
0,Minor,22:56,Wednesday,Clear,Daylight,Village Road,Under Construction,None,21,4
0,Serious,18:51,Tuesday,Rainy,Dark,Village Road,Icy,None,87,1
1,Minor,21:02,Wednesday,Clear,Dusk,National Highway,Icy,Guard,95,1
0,Minor,22:36,Wednesday,Hazy,Dark,Urban Road,Wet,Unknown,67,5
0,Minor,5:00,Friday,Stormy,Dawn,Urban Road,Wet,Guard,93,2
1,Fatal,17:03,Friday,Snowy,Dark,National Highway,Wet,Unknown,22,2
0,Minor,2:12,Friday,Clear,Daylight,National Highway,Wet,Signals,87,2
0,Minor,9:59,Tuesday,Snowy,Dark,National Highway,Wet,Signals,25,3
1,Minor,9:35,Wednesday,Rainy,Dawn,State Highway,Dry,Unknown,106,1
0,Minor,4:46,Monday,Stormy,Dawn,Urban Road,Wet,Guard,24,5
0,Minor,13:56,Thursday,Rainy,Dusk,Urban Road,Under Construction,Signals,22,5
0,Minor,3:48,Friday,Stormy,Dawn,Urban Road,Icy,Guard,29,2
1,Minor,4:41,Friday,Stormy,Dusk,National Highway,Wet,Signals,62,3
0,Minor,9:46,Sunday,Snowy,Daylight,National Highway,Dry,Guard,38,3
0,Minor,13:14,Wednesday,Rainy,Dawn,National Highway,Under Construction,Guard,33,2
1,Minor,23:48,Wednesday,Rainy,Dark,National Highway,Under Construction,Signs,40,2
1,Minor,12:19,Tuesday,Clear,Daylight,Village Road,Icy,Unknown,62,1
0,Minor,22:37,Tuesday,Rainy,Dark,National Highway,Under Construction,None,47,3
0,Minor,19:37,Friday,Clear,Dark,State Highway,Under Construction,Unknown,40,5
0,Minor,23:08,Wednesday,Foggy,Dark,Village Road,Under Construction,Guard,55,2
1,Minor,6:47,Monday,Foggy,Daylight,Village Road,Under Construction,Guard,43,1
0,Minor,4:46,Thursday,Foggy,Daylight,National Highway,Dry,Unknown,73,5
0,Minor,2:13,Wednesday,Hazy,Dawn,Urban Road,Icy,Guard,57,3
1,Serious,17:28,Sunday,Rainy,Dark,National Highway,Wet,Signals,36,2
1,Minor,21:24,Wednesday,Hazy,Dusk,Urban Road,Under Construction,Guard,41,2
0,Minor,19:00,Saturday,Rainy,Dawn,National Highway,Dry,Unknown,102,1
1,Minor,6:57,Tuesday,Clear,Daylight,National Highway,Icy,Unknown,64,1
0,Minor,7:01,Sunday,Hazy,Dusk,Urban Road,Wet,Unknown,93,3
1,Minor,4:10,Thursday,Hazy,Daylight,Urban Road,Icy,Signs,80,2
0,Minor,15:33,Friday,Hazy,Dusk,Urban Road,Dry,Signs,30,1
0,Minor,1:26,Sunday,Stormy,Dawn,Urban Road,Dry,Signs,80,2
1,Minor,7:05,Wednesday,Clear,Dusk,State Highway,Dry,Signs,57,3
0,Minor,0:59,Friday,Foggy,Dawn,Urban Road,Under Construction,Signs,85,2
0,Minor,1:31,Wednesday,Clear,Daylight,National Highway,Dry,Signs,52,5
1,Minor,6:18,Friday,Stormy,Dusk,National Highway,Wet,Signs,62,2
1,Minor,12:43,Thursday,Rainy,Dark,State Highway,Under Construction,Unknown,50,4
0,Minor,11:28,Tuesday,Clear,Dark,Urban Road,Icy,None,54,4
0,Minor,5:36,Thursday,Hazy,Daylight,National Highway,Wet,Signs,56,3
0,Minor,14:16,Saturday,Foggy,Dusk,State Highway,Under Construction,Unknown,66,3
0,Fatal,11:54,Monday,Foggy,Dark,National Highway,Dry,None,119,3
0,Minor,11:25,Tuesday,Rainy,Dawn,State Highway,Icy,Signs,42,5
0,Minor,8:14,Thursday,Clear,Dusk,State Highway,Dry,None,55,5
1,Minor,12:02,Saturday,Stormy,Dusk,Village Road,Wet,None,59,2
0,Serious,22:08,Monday,Rainy,Dark,Village Road,Wet,Signals,109,1
0,Minor,8:01,Saturday,Clear,Dawn,Urban Road,Under Construction,Guard,108,4
0,Minor,8:05,Wednesday,Snowy,Dawn,Village Road,Wet,Signals,100,4
1,Minor,0:00,Wednesday,Foggy,Dawn,State Highway,Icy,None,34,4
0,Minor,3:02,Friday,Stormy,Dusk,National Highway,Under Construction,Unknown,56,2
0,Minor,19:39,Tuesday,Hazy,Daylight,National Highway,Icy,Signs,23,2
0,Minor,18:15,Wednesday,Stormy,Dusk,Urban Road,Dry,Guard,41,3
0,Minor,14:31,Sunday,Hazy,Dusk,Village Road,Icy,Signs,100,1
0,Minor,21:03,Saturday,Stormy,Dark,Urban Road,Icy,Unknown,41,3
1,Serious,3:41,Tuesday,Foggy,Daylight,State Highway,Wet,Guard,100,2
1,Minor,14:59,Sunday,Hazy,Dawn,Village Road,Dry,Signals,97,5
0,Serious,0:01,Wednesday,Clear,Dark,Urban Road,Wet,None,97,3
0,Minor,19:17,Friday,Hazy,Dusk,National Highway,Dry,Unknown,36,2
1,Minor,6:47,Thursday,Rainy,Daylight,National Highway,Dry,None,91,2
1,Minor,22:14,Friday,Clear,Dawn,Urban Road,Icy,None,117,5
0,Minor,22:56,Sunday,Rainy,Dawn,Urban Road,Wet,Signs,109,5
0,Minor,16:25,Monday,Stormy,Dusk,Urban Road,Icy,Unknown,113,5
0,Minor,11:54,Wednesday,Clear,Dawn,State Highway,Icy,None,105,1
0,Minor,19:18,Sunday,Stormy,Dawn,State Highway,Icy,Signals,99,2
1,Minor,8:51,Monday,Snowy,Daylight,National Highway,Dry,Guard,113,5
1,Serious,13:10,Monday,Stormy,Dark,State Highway,Wet,Unknown,99,1
1,Minor,18:06,Saturday,Stormy,Daylight,State Highway,Wet,Signs,57,4
0,Minor,9:06,Tuesday,Rainy,Dark,Village Road,Icy,Unknown,43,4
0,Serious,4:02,Saturday,Hazy,Dark,State Highway,Dry,Signs,119,4
1,Fatal,13:34,Wednesday,Snowy,Dark,Village Road,Wet,Guard,118,2
1,Minor,3:27,Monday,Stormy,Dawn,State Highway,Under Construction,Signals,25,1
0,Minor,17:19,Sunday,Stormy,Daylight,National Highway,Wet,None,87,1
1,Minor,2:30,Thursday,Snowy,Dawn,Urban Road,Icy,Unknown,101,4
1,Minor,7:32,Monday,Snowy,Dusk,National Highway,Under Construction,Signs,25,3
0,Minor,14:55,Sunday,Clear,Daylight,State Highway,Dry,Guard,45,4
0,Serious,21:27,Thursday,Rainy,Dark,Urban Road,Under Construction,None,110,2
0,Minor,6:26,Saturday,Snowy,Dawn,Urban Road,Under Construction,Guard,60,4
0,Minor,17:16,Saturday,Snowy,Dawn,Urban Road,Icy,Signals,94,4
0,Minor,14:34,Tuesday,Foggy,Daylight,Village Road,Wet,None,57,1
1,Minor,20:19,Sunday,Hazy,Daylight,National Highway,Dry,None,99,4
0,Fatal,22:25,Monday,Snowy,Dark,Village Road,Under Construction,None,102,5
0,Minor,22:08,Friday,Rainy,Dark,Urban Road,Icy,Signs,62,5
0,Minor,8:59,Saturday,Hazy,Dusk,National Highway,Wet,None,72,3
0,Minor,22:05,Saturday,Hazy,Dark,National Highway,Under Construction,Guard,34,2
1,Minor,3:31,Tuesday,Stormy,Dawn,State Highway,Icy,Signs,109,2
0,Minor,10:08,Thursday,Stormy,Dusk,Village Road,Icy,None,75,1
0,Minor,11:34,Tuesday,Stormy,Dusk,Village Road,Icy,Guard,75,2
1,Minor,1:58,Monday,Stormy,Dusk,State Highway,Dry,Guard,50,3
0,Minor,0:31,Sunday,Foggy,Daylight,Village Road,Wet,Unknown,102,5
0,Minor,10:13,Wednesday,Snowy,Dark,Urban Road,Under Construction,Guard,76,1
0,Minor,9:19,Wednesday,Stormy,Dusk,Urban Road,Wet,Signals,70,5
0,Minor,18:59,Sunday,Clear,Daylight,Village Road,Wet,None,43,3
0,Minor,14:55,Thursday,Stormy,Daylight,State Highway,Under Construction,None,77,1
0,Minor,7:48,Saturday,Snowy,Dusk,National Highway,Wet,None,92,4
0,Minor,20:53,Thursday,Stormy,Dusk,Village Road,Dry,Guard,106,2
1,Minor,4:15,Saturday,Foggy,Dawn,National Highway,Under Construction,Guard,23,3
0,Minor,19:00,Saturday,Rainy,Dusk,State Highway,Under Construction,None,29,1
0,Minor,2:55,Wednesday,Rainy,Dawn,National Highway,Icy,Signs,82,5
0,Minor,12:22,Thursday,Snowy,Dusk,State Highway,Wet,Signs,92,1
0,Minor,8:13,Tuesday,Rainy,Dusk,State Highway,Under Construction,Signals,102,4
0,Minor,11:41,Saturday,Rainy,Dark,Urban Road,Under Construction,Unknown,34,3
0,Minor,23:20,Friday,Clear,Dusk,Urban Road,Dry,Signals,117,1
1,Minor,19:48,Friday,Snowy,Dusk,State Highway,Icy,None,82,3
0,Minor,8:44,Tuesday,Snowy,Dawn,Village Road,Under Construction,None,38,3
0,Minor,15:11,Friday,Rainy,Dawn,Urban Road,Dry,None,82,5
0,Minor,2:55,Monday,Rainy,Dark,State Highway,Under Construction,Unknown,75,2
1,Minor,8:45,Saturday,Rainy,Dusk,National Highway,Under Construction,Guard,40,4
0,Minor,2:50,Tuesday,Hazy,Dusk,National Highway,Under Construction,Unknown,53,1
0,Minor,3:23,Thursday,Foggy,Dawn,Village Road,Dry,Signals,36,2
0,Minor,10:48,Saturday,Stormy,Daylight,National Highway,Wet,Guard,37,5
1,Minor,0:12,Tuesday,Foggy,Daylight,National Highway,Under Construction,Guard,100,2
0,Minor,13:12,Wednesday,Snowy,Daylight,State Highway,Under Construction,Signals,85,3
1,Minor,19:35,Thursday,Clear,Dawn,National Highway,Wet,Guard,70,3
0,Minor,0:55,Wednesday,Stormy,Dawn,National Highway,Under Construction,Signs,84,4
0,Minor,11:02,Saturday,Clear,Daylight,National Highway,Icy,Signals,62,1
0,Minor,15:24,Thursday,Hazy,Daylight,National Highway,Under Construction,Signals,76,1
0,Minor,6:19,Friday,Snowy,Dusk,State Highway,Icy,Signs,29,5
0,Minor,8:08,Tuesday,Hazy,Dawn,National Highway,Wet,Unknown,56,4
0,Minor,1:27,Saturday,Snowy,Dawn,Village Road,Dry,Unknown,67,1
1,Serious,1:15,Monday,Clear,Daylight,Urban Road,Wet,Unknown,88,3
0,Minor,11:52,Thursday,Clear,Daylight,Village Road,Under Construction,Guard,75,4
0,Serious,17:48,Thursday,Clear,Dark,Urban Road,Icy,Signs,95,2
0,Minor,2:08,Sunday,Snowy,Dawn,Village Road,Dry,Signals,55,4
0,Minor,17:26,Saturday,Rainy,Dark,Urban Road,Under Construction,Signals,50,4
0,Minor,17:06,Saturday,Clear,Dusk,Urban Road,Dry,Signals,74,1
0,Minor,19:47,Wednesday,Hazy,Dark,Urban Road,Dry,Guard,57,5
0,Minor,18:26,Sunday,Stormy,Daylight,Urban Road,Under Construction,Guard,92,5
1,Fatal,8:40,Friday,Snowy,Dawn,State Highway,Wet,Unknown,109,1
1,Minor,18:27,Wednesday,Hazy,Dawn,Village Road,Under Construction,Guard,34,1
0,Minor,21:06,Sunday,Foggy,Dark,Urban Road,Under Construction,Unknown,35,1
0,Serious,2:27,Wednesday,Foggy,Dark,Village Road,Wet,Unknown,96,5
0,Minor,5:18,Friday,Stormy,Dusk,National Highway,Icy,Signals,108,1
0,Minor,23:42,Sunday,Rainy,Dusk,Urban Road,Under Construction,Guard,113,2
0,Minor,4:41,Sunday,Clear,Daylight,Village Road,Dry,Unknown,72,2
0,Minor,11:12,Monday,Snowy,Daylight,State Highway,Under Construction,Signs,75,3
1,Minor,2:07,Wednesday,Hazy,Daylight,Village Road,Under Construction,Signs,26,2
0,Minor,12:24,Wednesday,Clear,Dark,Urban Road,Dry,Guard,76,4
0,Minor,21:19,Thursday,Hazy,Dark,National Highway,Wet,Signals,74,3
0,Minor,16:32,Friday,Snowy,Dawn,Village Road,Icy,Signals,71,2
0,Minor,1:37,Tuesday,Foggy,Daylight,National Highway,Icy,Unknown,23,4
0,Minor,7:45,Monday,Clear,Dark,State Highway,Dry,Guard,62,2
0,Minor,22:19,Sunday,Stormy,Dawn,Village Road,Wet,Signs,59,4
0,Minor,5:57,Sunday,Rainy,Daylight,Village Road,Under Construction,Unknown,49,1
1,Minor,20:29,Sunday,Stormy,Dusk,State Highway,Under Construction,Unknown,29,4
0,Minor,3:52,Monday,Rainy,Dusk,State Highway,Under Construction,None,113,1
0,Minor,5:51,Sunday,Hazy,Dark,State Highway,Under Construction,Guard,26,4
0,Minor,19:15,Sunday,Clear,Dawn,Urban Road,Under Construction,Unknown,55,4
0,Minor,14:40,Friday,Clear,Dusk,Urban Road,Dry,Signs,54,2
0,Minor,4:09,Saturday,Rainy,Dawn,Village Road,Under Construction,None,107,4
1,Minor,10:19,Saturday,Foggy,Dawn,Village Road,Under Construction,Signs,58,2
1,Minor,22:31,Thursday,Snowy,Dusk,Village Road,Wet,Signals,55,4
1,Minor,7:40,Thursday,Stormy,Dawn,National Highway,Under Construction,None,39,5
0,Minor,9:42,Sunday,Hazy,Dusk,State Highway,Icy,None,68,3
0,Serious,2:34,Friday,Stormy,Dark,Village Road,Dry,Unknown,115,2
0,Minor,13:09,Sunday,Stormy,Daylight,State Highway,Dry,Signals,78,2
0,Minor,16:50,Thursday,Hazy,Daylight,Urban Road,Dry,Unknown,68,1
1,Serious,1:20,Monday,Hazy,Dark,State Highway,Icy,Guard,109,5
0,Minor,9:15,Monday,Clear,Dusk,National Highway,Under Construction,Signs,45,1
0,Minor,23:06,Tuesday,Stormy,Dusk,National Highway,Dry,Signs,55,5
0,Minor,2:04,Saturday,Snowy,Dusk,State Highway,Icy,Unknown,62,5
0,Minor,15:12,Friday,Snowy,Dusk,National Highway,Wet,Signs,118,4
0,Minor,1:50,Wednesday,Rainy,Dark,National Highway,Under Construction,Signs,62,1
0,Minor,15:55,Saturday,Hazy,Daylight,Urban Road,Icy,Guard,118,3
0,Minor,11:48,Wednesday,Clear,Dawn,Village Road,Under Construction,Signals,95,5
1,Minor,1:35,Tuesday,Snowy,Dawn,National Highway,Wet,None,52,5
1,Minor,0:02,Tuesday,Foggy,Daylight,Village Road,Icy,Unknown,119,2
0,Serious,17:36,Sunday,Clear,Dark,State Highway,Under Construction,Unknown,97,4
0,Minor,10:47,Thursday,Clear,Dawn,State Highway,Icy,Guard,116,3
0,Minor,14:53,Tuesday,Snowy,Daylight,National Highway,Dry,Guard,64,5
0,Minor,2:15,Tuesday,Foggy,Dark,State Highway,Under Construction,None,64,2
0,Minor,6:04,Wednesday,Rainy,Dawn,Urban Road,Icy,Signals,107,1
0,Minor,15:05,Thursday,Snowy,Dusk,National Highway,Dry,Unknown,34,5
0,Minor,14:15,Tuesday,Foggy,Dusk,National Highway,Wet,Guard,114,2
0,Minor,9:19,Saturday,Clear,Dark,National Highway,Under Construction,Unknown,36,1
0,Minor,14:48,Tuesday,Foggy,Dusk,State Highway,Under Construction,Signs,31,4
0,Minor,11:06,Thursday,Clear,Dark,State Highway,Wet,Unknown,41,1
1,Minor,0:03,Sunday,Snowy,Daylight,National Highway,Dry,Signals,42,5
1,Serious,12:44,Friday,Hazy,Daylight,Village Road,Wet,Signals,109,3
0,Minor,15:59,Thursday,Snowy,Dawn,State Highway,Under Construction,Unknown,97,1
1,Minor,4:49,Wednesday,Stormy,Dark,State Highway,Icy,Signs,31,3
0,Minor,22:51,Friday,Stormy,Dawn,National Highway,Dry,Signals,87,3
1,Minor,0:37,Saturday,Stormy,Dawn,Village Road,Dry,Guard,70,1
1,Minor,2:57,Monday,Snowy,Daylight,National Highway,Dry,Unknown,32,4
0,Minor,18:58,Thursday,Rainy,Dawn,State Highway,Wet,Signs,76,1
0,Minor,16:08,Sunday,Snowy,Dusk,National Highway,Wet,Guard,74,2
0,Minor,7:11,Wednesday,Hazy,Dawn,National Highway,Icy,Unknown,101,3
0,Minor,7:18,Saturday,Foggy,Dark,National Highway,Icy,Signs,47,5
0,Minor,23:53,Friday,Snowy,Dusk,Village Road,Dry,Guard,63,3
0,Minor,9:51,Saturday,Snowy,Daylight,National Highway,Icy,Signals,38,5
0,Minor,14:40,Thursday,Clear,Dark,State Highway,Wet,Unknown,65,2
1,Minor,22:45,Tuesday,Clear,Dusk,National Highway,Icy,Unknown,22,2
1,Fatal,2:17,Sunday,Clear,Dark,Village Road,Wet,Signals,102,2
0,Minor,0:28,Thursday,Snowy,Dusk,Urban Road,Icy,None,39,1
0,Minor,5:15,Monday,Rainy,Dark,Village Road,Under Construction,Guard,44,3
0,Fatal,9:30,Thursday,Foggy,Dark,National Highway,Wet,Signals,94,5
0,Minor,7:28,Friday,Foggy,Dusk,Urban Road,Under Construction,Unknown,75,2
1,Serious,18:11,Friday,Hazy,Daylight,National Highway,Wet,Guard,100,2
0,Minor,7:28,Thursday,Rainy,Daylight,Village Road,Icy,Guard,80,5
0,Minor,3:18,Friday,Rainy,Dark,Urban Road,Under Construction,None,74,3
0,Minor,19:42,Tuesday,Foggy,Dark,Urban Road,Icy,Unknown,54,3
0,Minor,13:54,Saturday,Stormy,Daylight,National Highway,Wet,Signs,97,5
0,Minor,16:14,Thursday,Clear,Daylight,National Highway,Under Construction,None,78,4
1,Minor,16:00,Sunday,Clear,Dawn,Village Road,Dry,None,58,3
0,Minor,21:27,Tuesday,Foggy,Daylight,National Highway,Icy,Signs,76,5
0,Serious,7:29,Saturday,Rainy,Dark,Urban Road,Wet,Signs,102,5
0,Minor,10:58,Sunday,Hazy,Dusk,State Highway,Under Construction,None,86,2
1,Minor,11:44,Sunday,Stormy,Daylight,State Highway,Icy,Guard,53,5
1,Minor,23:58,Sunday,Foggy,Dawn,Village Road,Under Construction,Signals,60,1
0,Minor,21:37,Saturday,Clear,Dawn,National Highway,Icy,Signals,41,2
0,Minor,7:19,Tuesday,Snowy,Dawn,Village Road,Icy,None,46,2
0,Minor,15:55,Sunday,Rainy,Dusk,State Highway,Icy,Guard,40,3
0,Minor,4:55,Sunday,Snowy,Daylight,State Highway,Under Construction,Signs,60,4
1,Minor,3:51,Wednesday,Hazy,Daylight,National Highway,Under Construction,None,50,3
0,Minor,2:01,Thursday,Foggy,Daylight,Urban Road,Icy,Unknown,46,1
0,Minor,19:30,Saturday,Clear,Dusk,National Highway,Dry,Guard,56,2
0,Minor,5:16,Saturday,Stormy,Dusk,State Highway,Dry,Unknown,85,2
0,Minor,12:57,Friday,Snowy,Dark,Urban Road,Dry,Unknown,73,5
0,Minor,9:08,Saturday,Stormy,Dawn,Village Road,Wet,None,28,4
1,Minor,6:08,Tuesday,Hazy,Dawn,State Highway,Dry,Guard,102,4
0,Minor,18:04,Saturday,Clear,Daylight,Village Road,Under Construction,Unknown,61,5
0,Minor,14:58,Wednesday,Snowy,Dusk,Urban Road,Dry,Guard,55,1
0,Minor,10:39,Thursday,Hazy,Dusk,Village Road,Under Construction,Signals,29,4
0,Minor,3:26,Thursday,Stormy,Daylight,State Highway,Wet,Unknown,78,2
0,Minor,16:11,Saturday,Stormy,Daylight,National Highway,Under Construction,Unknown,59,1
0,Minor,1:36,Sunday,Snowy,Dark,Village Road,Under Construction,Guard,73,3
1,Minor,6:37,Monday,Clear,Dawn,State Highway,Under Construction,Signals,58,3
0,Minor,4:22,Monday,Stormy,Dawn,State Highway,Dry,Unknown,26,1
0,Minor,1:36,Sunday,Foggy,Dawn,Urban Road,Icy,None,23,2
0,Minor,23:21,Sunday,Hazy,Dark,State Highway,Under Construction,Guard,34,3
0,Minor,17:13,Sunday,Snowy,Daylight,National Highway,Dry,Guard,95,2
1,Minor,14:52,Tuesday,Rainy,Daylight,National Highway,Dry,Unknown,67,5
1,Minor,12:57,Monday,Rainy,Dawn,Village Road,Dry,Signals,25,4
0,Minor,19:49,Sunday,Clear,Dawn,Village Road,Icy,Unknown,92,1
0,Minor,21:22,Tuesday,Foggy,Dark,Village Road,Icy,Signs,54,4
0,Minor,13:31,Friday,Stormy,Dusk,Village Road,Icy,Unknown,91,5
0,Minor,9:23,Tuesday,Rainy,Dusk,National Highway,Icy,Signs,90,3
0,Minor,2:08,Monday,Clear,Dawn,Urban Road,Wet,None,87,2
0,Minor,13:55,Saturday,Hazy,Dark,Village Road,Icy,Guard,77,2
0,Minor,2:16,Friday,Foggy,Dawn,Urban Road,Icy,Guard,96,5
0,Minor,20:28,Monday,Foggy,Dusk,State Highway,Icy,Signals,38,1
1,Minor,12:04,Tuesday,Clear,Dawn,State Highway,Under Construction,Unknown,81,4
0,Minor,13:50,Wednesday,Clear,Dusk,Village Road,Under Construction,None,90,3
0,Minor,5:01,Thursday,Stormy,Dusk,State Highway,Icy,Signs,29,1
1,Minor,5:48,Monday,Clear,Dusk,Urban Road,Wet,Signals,44,5
0,Minor,6:08,Sunday,Stormy,Daylight,Urban Road,Under Construction,None,63,5
0,Minor,4:42,Tuesday,Stormy,Daylight,State Highway,Dry,None,118,2
0,Minor,13:09,Sunday,Snowy,Dawn,Village Road,Under Construction,Signs,77,3
0,Minor,10:07,Sunday,Foggy,Dusk,Urban Road,Dry,Signs,44,1
1,Minor,23:56,Sunday,Hazy,Daylight,Urban Road,Under Construction,Guard,112,2
1,Minor,0:22,Sunday,Foggy,Dawn,National Highway,Icy,Unknown,95,3
0,Minor,15:53,Sunday,Foggy,Dawn,Village Road,Under Construction,Signals,59,4
0,Minor,2:26,Friday,Snowy,Dawn,National Highway,Icy,Unknown,95,4
0,Minor,0:16,Monday,Stormy,Dawn,State Highway,Icy,Signals,89,2
0,Minor,3:02,Monday,Stormy,Dawn,State Highway,Under Construction,None,29,1
0,Serious,15:06,Thursday,Clear,Dark,National Highway,Dry,Signs,85,3
1,Minor,4:14,Tuesday,Snowy,Dusk,Village Road,Dry,Signs,44,4
0,Minor,16:26,Wednesday,Clear,Dawn,Urban Road,Under Construction,None,90,4
1,Serious,4:25,Friday,Snowy,Dark,State Highway,Icy,None,106,1
0,Minor,17:20,Tuesday,Clear,Dusk,Village Road,Dry,Signals,30,2
0,Minor,17:54,Friday,Rainy,Daylight,Village Road,Wet,None,55,5
0,Minor,3:45,Monday,Foggy,Dawn,State Highway,Icy,Signals,68,3
1,Minor,0:31,Sunday,Foggy,Dark,State Highway,Under Construction,Unknown,67,4
1,Minor,12:49,Thursday,Hazy,Daylight,Village Road,Icy,Signs,106,5
1,Serious,22:48,Thursday,Stormy,Dark,Urban Road,Wet,Signs,26,1
0,Minor,16:39,Saturday,Hazy,Dusk,National Highway,Wet,Signs,110,2
0,Minor,18:40,Wednesday,Rainy,Dusk,State Highway,Dry,Unknown,96,3
1,Minor,5:55,Thursday,Hazy,Daylight,National Highway,Wet,Unknown,70,1
0,Minor,16:12,Sunday,Foggy,Dark,Village Road,Icy,Guard,36,2
0,Minor,0:17,Monday,Stormy,Dawn,National Highway,Dry,Signals,51,1
0,Minor,4:14,Wednesday,Rainy,Dawn,Urban Road,Wet,Signals,45,4
1,Minor,11:43,Tuesday,Foggy,Daylight,Village Road,Dry,Guard,41,4
1,Minor,16:24,Sunday,Clear,Daylight,Urban Road,Dry,Signs,32,5
0,Minor,22:23,Sunday,Snowy,Daylight,Village Road,Under Construction,Signals,31,1
1,Fatal,7:13,Thursday,Rainy,Dark,Urban Road,Dry,Signals,90,4
1,Minor,4:12,Wednesday,Stormy,Dawn,Village Road,Dry,Signs,20,2
0,Minor,8:57,Monday,Hazy,Dawn,Urban Road,Wet,None,52,5
0,Minor,8:21,Saturday,Hazy,Dawn,Village Road,Icy,None,33,3
1,Minor,17:26,Friday,Rainy,Daylight,Urban Road,Icy,Guard,83,1
0,Minor,19:25,Friday,Stormy,Dawn,Village Road,Wet,Unknown,62,4
0,Minor,9:16,Monday,Rainy,Dusk,Urban Road,Icy,Signals,77,2
0,Minor,6:17,Monday,Stormy,Daylight,State Highway,Dry,Signals,60,1
1,Minor,14:25,Friday,Hazy,Dawn,National Highway,Under Construction,Guard,100,2
1,Serious,1:21,Saturday,Foggy,Dark,Village Road,Dry,Guard,87,5
1,Minor,19:49,Wednesday,Clear,Daylight,Urban Road,Dry,Signals,58,4
0,Minor,23:14,Friday,Foggy,Dusk,State Highway,Under Construction,Signs,20,4
1,Minor,2:48,Monday,Clear,Dusk,Village Road,Wet,Signs,60,5
1,Minor,12:37,Thursday,Hazy,Dark,Village Road,Dry,Unknown,64,2
0,Serious,23:46,Tuesday,Foggy,Dark,Village Road,Dry,Signals,107,1
1,Fatal,17:29,Saturday,Foggy,Daylight,National Highway,Wet,Signals,117,2
0,Minor,5:22,Sunday,Rainy,Daylight,Urban Road,Dry,Signals,117,1
0,Minor,14:32,Saturday,Snowy,Dusk,Urban Road,Dry,Signals,107,5
0,Serious,17:52,Thursday,Hazy,Dark,Village Road,Icy,Guard,98,3
0,Minor,0:07,Thursday,Stormy,Daylight,Village Road,Wet,None,100,1
0,Minor,13:56,Sunday,Hazy,Dusk,Village Road,Dry,Signals,32,4
0,Fatal,17:22,Monday,Stormy,Dark,State Highway,Dry,None,90,4
0,Minor,5:54,Friday,Stormy,Dusk,Village Road,Under Construction,Signs,28,4
1,Minor,23:24,Wednesday,Clear,Dawn,National Highway,Under Construction,Unknown,82,2
0,Serious,1:39,Saturday,Stormy,Dark,Urban Road,Under Construction,Signs,118,2
0,Minor,6:43,Sunday,Stormy,Daylight,National Highway,Dry,Signals,42,2
0,Minor,19:53,Saturday,Rainy,Daylight,Village Road,Dry,Signs,73,4
1,Minor,16:46,Thursday,Foggy,Dawn,State Highway,Under Construction,Guard,66,1
0,Minor,8:40,Friday,Hazy,Dark,Village Road,Icy,None,58,4
0,Minor,4:03,Saturday,Hazy,Dusk,Village Road,Icy,Signals,106,1
1,Minor,12:45,Wednesday,Stormy,Daylight,Village Road,Icy,Guard,45,2
0,Minor,1:53,Thursday,Snowy,Dawn,Village Road,Icy,None,20,3
0,Minor,0:22,Wednesday,Hazy,Dawn,Village Road,Wet,Guard,33,2
0,Serious,1:21,Friday,Stormy,Dark,Urban Road,Under Construction,Signs,115,5
1,Fatal,4:28,Saturday,Clear,Dark,National Highway,Dry,Signals,93,1
0,Minor,3:52,Tuesday,Clear,Daylight,State Highway,Under Construction,Signs,84,3
1,Minor,0:37,Saturday,Clear,Dawn,Village Road,Icy,Unknown,88,2
0,Minor,5:53,Friday,Stormy,Dusk,State Highway,Dry,Signals,86,3
1,Minor,3:32,Saturday,Rainy,Dawn,Urban Road,Wet,Signs,68,4
1,Minor,10:46,Sunday,Snowy,Dusk,National Highway,Under Construction,Signals,69,1
1,Minor,12:54,Saturday,Stormy,Dusk,Village Road,Dry,None,77,5
0,Minor,2:08,Monday,Rainy,Daylight,Urban Road,Dry,Signals,72,4
1,Minor,17:53,Saturday,Rainy,Dawn,Urban Road,Icy,Signals,110,3
